year;fecha;macrozona;poligono;sector;talla_mm
2011;40617;X Norte;2;Punta Picuta;48
2011;40617;X Norte;2;Punta Picuta;32
2011;40617;X Norte;2;Punta Picuta;40
2011;40617;X Norte;2;Punta Picuta;53
2011;40617;X Norte;2;Punta Picuta;58
2011;40617;X Norte;2;Punta Picuta;68
2011;40617;X Norte;2;Punta Picuta;48
2011;40617;X Norte;2;Punta Picuta;61
2011;40617;X Norte;2;Punta Picuta;62
2011;40617;X Norte;2;Punta Picuta;62
2011;40617;X Norte;2;Punta Picuta;58
2011;40617;X Norte;2;Punta Picuta;60
2011;40617;X Norte;2;Punta Picuta;54
2011;40617;X Norte;2;Punta Picuta;31
2011;40617;X Norte;2;Punta Picuta;63
2011;40617;X Norte;2;Punta Picuta;66
2011;40617;X Norte;2;Punta Picuta;45
2011;40617;X Norte;2;Punta Picuta;66
2011;40617;X Norte;2;Punta Picuta;63
2011;40617;X Norte;2;Punta Picuta;64
2011;40617;X Norte;2;Punta Picuta;68
2011;40617;X Norte;2;Punta Picuta;57
2011;40617;X Norte;2;Punta Picuta;63
2011;40617;X Norte;2;Punta Picuta;51
2011;40617;X Norte;2;Punta Picuta;68
2011;40617;X Norte;2;Punta Picuta;71
2011;40617;X Norte;2;Punta Picuta;68
2011;40617;X Norte;2;Punta Picuta;52
2011;40617;X Norte;2;Punta Picuta;52
2011;40617;X Norte;2;Punta Picuta;64
2011;40617;X Norte;2;Punta Picuta;63
2011;40617;X Norte;2;Punta Picuta;58
2011;40617;X Norte;2;Punta Picuta;44
2011;40617;X Norte;2;Punta Picuta;60
2011;40617;X Norte;2;Punta Picuta;48
2011;40617;X Norte;2;Punta Picuta;62
2011;40617;X Norte;2;Punta Picuta;56
2011;40617;X Norte;2;Punta Picuta;58
2011;40617;X Norte;2;Punta Picuta;59
2011;40617;X Norte;2;Punta Picuta;50
2011;40617;X Norte;2;Punta Picuta;46
2011;40617;X Norte;2;Punta Picuta;66
2011;40617;X Norte;2;Punta Picuta;58
2011;40617;X Norte;2;Punta Picuta;44
2011;40617;X Norte;2;Punta Picuta;64
2011;40617;X Norte;2;Punta Picuta;62
2011;40617;X Norte;2;Punta Picuta;56
2011;40617;X Norte;2;Punta Picuta;62
2011;40617;X Norte;2;Punta Picuta;66
2011;40617;X Norte;2;Punta Picuta;52
2011;40617;X Norte;2;Punta Picuta;61
2011;40617;X Norte;2;Punta Picuta;47
2011;40617;X Norte;2;Punta Picuta;54
2011;40617;X Norte;2;Punta Picuta;57
2011;40617;X Norte;2;Punta Picuta;58
2011;40617;X Norte;2;Punta Picuta;65
2011;40617;X Norte;2;Punta Picuta;52
2011;40617;X Norte;2;Punta Picuta;37
2011;40617;X Norte;2;Punta Picuta;42
2011;40617;X Norte;2;Punta Picuta;44
2011;40617;X Norte;2;Punta Picuta;49
2011;40617;X Norte;2;Punta Picuta;44
2011;40617;X Norte;2;Punta Picuta;61
2011;40617;X Norte;2;Punta Picuta;67
2011;40617;X Norte;2;Punta Picuta;52
2011;40617;X Norte;2;Punta Picuta;73
2011;40617;X Norte;2;Punta Picuta;59
2011;40617;X Norte;2;Punta Picuta;52
2011;40617;X Norte;2;Punta Picuta;59
2011;40617;X Norte;2;Punta Picuta;69
2011;40617;X Norte;2;Punta Picuta;46
2011;40617;X Norte;2;Punta Picuta;70
2011;40617;X Norte;2;Punta Picuta;53
2011;40617;X Norte;2;Punta Picuta;48
2011;40617;X Norte;2;Punta Picuta;67
2011;40617;X Norte;2;Punta Picuta;65
2011;40617;X Norte;2;Punta Picuta;54
2011;40617;X Norte;2;Punta Picuta;65
2011;40617;X Norte;2;Punta Picuta;48
2011;40617;X Norte;2;Punta Picuta;66
2011;40617;X Norte;2;Punta Picuta;41
2011;40617;X Norte;2;Punta Picuta;53
2011;40617;X Norte;2;Punta Picuta;60
2011;40617;X Norte;2;Punta Picuta;70
2011;40617;X Norte;2;Punta Picuta;55
2011;40617;X Norte;2;Punta Picuta;57
2011;40617;X Norte;2;Punta Picuta;62
2011;40617;X Norte;2;Punta Picuta;72
2011;40617;X Norte;2;Punta Picuta;50
2011;40617;X Norte;2;Punta Picuta;58
2011;40617;X Norte;2;Punta Picuta;45
2011;40617;X Norte;2;Punta Picuta;69
2011;40617;X Norte;2;Punta Picuta;70
2011;40617;X Norte;2;Punta Picuta;68
2011;40617;X Norte;2;Punta Picuta;60
2011;40617;X Norte;2;Punta Picuta;60
2011;40617;X Norte;2;Punta Picuta;33
2011;40617;X Norte;2;Punta Picuta;54
2011;40617;X Norte;2;Punta Picuta;44
2011;40617;X Norte;2;Punta Picuta;45
2011;40617;X Norte;2;Punta Picuta;54
2011;40617;X Norte;2;Punta Picuta;57
2011;40617;X Norte;2;Punta Picuta;46
2011;40617;X Norte;2;Punta Picuta;72
2011;40617;X Norte;2;Punta Picuta;48
2011;40617;X Norte;2;Punta Picuta;50
2011;40617;X Norte;2;Punta Picuta;58
2011;40617;X Norte;2;Punta Picuta;61
2011;40617;X Norte;2;Punta Picuta;43
2011;40617;X Norte;2;Punta Picuta;62
2011;40617;X Norte;2;Punta Picuta;56
2011;40617;X Norte;2;Punta Picuta;62
2011;40617;X Norte;2;Punta Picuta;50
2011;40617;X Norte;2;Punta Picuta;61
2011;40617;X Norte;2;Punta Picuta;58
2011;40617;X Norte;2;Punta Picuta;61
2011;40617;X Norte;2;Punta Picuta;34
2011;40617;X Norte;2;Punta Picuta;58
2011;40617;X Norte;2;Punta Picuta;68
2011;40617;X Norte;2;Punta Picuta;62
2011;40617;X Norte;2;Punta Picuta;49
2011;40617;X Norte;2;Punta Picuta;62
2011;40617;X Norte;2;Punta Picuta;51
2011;40617;X Norte;2;Punta Picuta;61
2011;40617;X Norte;2;Punta Picuta;66
2011;40617;X Norte;2;Punta Picuta;37
2011;40617;X Norte;2;Punta Picuta;41
2011;40617;X Norte;2;Punta Picuta;64
2011;40617;X Norte;2;Punta Picuta;56
2011;40617;X Norte;2;Punta Picuta;38
2011;40617;X Norte;2;Punta Picuta;36
2011;40617;X Norte;2;Punta Picuta;59
2011;40617;X Norte;2;Punta Picuta;50
2011;40617;X Norte;2;Punta Picuta;64
2011;40617;X Norte;2;Punta Picuta;40
2011;40617;X Norte;2;Punta Picuta;43
2011;40617;X Norte;2;Punta Picuta;57
2011;40617;X Norte;2;Punta Picuta;52
2011;40617;X Norte;2;Punta Picuta;61
2011;40617;X Norte;2;Punta Picuta;55
2011;40617;X Norte;2;Punta Picuta;66
2011;40617;X Norte;2;Punta Picuta;76
2011;40617;X Norte;2;Punta Picuta;66
2011;40617;X Norte;2;Punta Picuta;54
2011;40617;X Norte;2;Punta Picuta;49
2011;40617;X Norte;2;Punta Picuta;60
2011;40617;X Norte;2;Punta Picuta;43
2011;40617;X Norte;2;Punta Picuta;63
2011;40617;X Norte;2;Punta Picuta;42
2011;40617;X Norte;2;Punta Picuta;62
2011;40617;X Norte;2;Punta Picuta;64
2011;40617;X Norte;2;Punta Picuta;56
2011;40617;X Norte;2;Punta Picuta;41
2011;40617;X Norte;2;Punta Picuta;50
2011;40617;X Norte;2;Punta Picuta;50
2011;40617;X Norte;2;Punta Picuta;53
2011;40617;X Norte;2;Punta Picuta;58
2011;40617;X Norte;2;Punta Picuta;60
2011;40617;X Norte;2;Punta Picuta;54
2011;40617;X Norte;2;Punta Picuta;60
2011;40617;X Norte;2;Punta Picuta;44
2011;40617;X Norte;2;Punta Picuta;55
2011;40617;X Norte;2;Punta Picuta;49
2011;40617;X Norte;2;Punta Picuta;51
2011;40617;X Norte;2;Punta Picuta;38
2011;40617;X Norte;2;Punta Picuta;65
2011;40617;X Norte;2;Punta Picuta;40
2011;40617;X Norte;2;Punta Picuta;69
2011;40617;X Norte;2;Punta Picuta;71
2011;40617;X Norte;2;Punta Picuta;72
2011;40617;X Norte;2;Punta Picuta;67
2011;40617;X Norte;2;Punta Picuta;70
2011;40617;X Norte;2;Punta Picuta;67
2011;40617;X Norte;2;Punta Picuta;78
2011;40617;X Norte;2;Punta Picuta;64
2011;40617;X Norte;2;Punta Picuta;60
2011;40617;X Norte;2;Punta Picuta;62
